name,type,aggregatable,description,raw / calculated
author_bot,boolean,true,True if the given author is identified as a bot.,GrimoireLab / SortingHat
author_domain,keyword,true,Domain associated to the author in SortingHat profile.,GrimoireLab / SortingHat
author_gender,keyword,true,Author gender.,GrimoireLab / SortingHat
author_gender_acc,keyword,true,Accuracy to assess author gender.,GrimoireLab / SortingHat
author_id,keyword,true,Author Id from SortingHat.,GrimoireLab / SortingHat
author_multi_org_names,keyword,true,List of the author organizations from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author organization name from SortingHat profile.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author username from Sortinghat profile.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author UUID from SortingHat.,GrimoireLab / SortingHat
avatar,keyword,true,Avatar associated with User profile.,Data Source / Parsed
channel_updated_at,date,true,Date when channel was updated in UNIX timestamp format.,Data Source / Parsed
channel_id,keyword,long,true,Channel Id of a Slack channel.
channel_num_users,long,true,Number of members in a Rocketchat channel.,Data Source / Parsed
channel_num_messages,long,true,Number of messages in a Rocketchat channel.,Data Source / Parsed
channel_name,keyword,true,Channel Name.,Data Source / Parsed
channel_topic,keyword,true,Channel Topic.,Data Source / Parsed
edited_at,date,true,Date message was updated in UNIX timestamp format.,Data Source / Parsed
edited_by_user_id,keyword,true,Message editor's user id.,Data Source / Parsed
edited_by_username,keyword,true,Message editor's username.,Data Source / Parsed
grimoire_creation_date,date,true,Message creation date.,GrimoireLab
file_id,keyword,true,File id.,Data Source / Parsed
file_name,keyword,true,File name.,Data Source / Parsed
file_type,keyword,true,File type,Data Source / Parsed
is_rocketchat_message,long,true,1 indicating the item is a message.,GrimoireLab
is_edited,long,true,1 indicating the message has been edited,GrimoireLab
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated on its original data source.,GrimoireLab
metadata__filter_raw,keyword,true,Raw filter,GrimoireLab
message_urls.url,keyword,true,Url on a message.,Data Source / Parsed
mentions.id,keyword,true,Mentions id,Data Source / Parsed
mentions.name,keyword,true,Mentions name,Data Source / Parsed
mentions.username,keyword,true,Mentions username,Data Source / Parsed
msg,keyword,true,Message text.,Data Source / Parsed
msg_analyzed,keyword,true,Message body in plain text.,Data Source / Parsed
msg_id,keyword,true,Message id.,Data Source / Parsed
msg_parent,keyword,true,Message parent.,Data Source / Parsed
origin,keyword,true,Original URL where the channel was retrieved from.,Data Source / Parsed
project,keyword,true,Project.,GrimoireLab / projects.json
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy).,GrimoireLab / projects.json
reactions.names,keyword,true,Names of users who used a reaction type on a message.,Data Source / Parsed
reactions.type,keyword,true,reaction type on a message.,Data Source / Parsed
reactions.username,keyword,true,Usernames of users who used a reaction type on a message.,Data Source / Parsed
replies,long,true,Number of replies on a message.,Data Source / Parsed
repository_labels,keyword,true,Custom repository labels defined by the user.,GrimoireLab / projects.json
rid,keyword,true,Channel id.,Data Source / Parsed
tag,keyword,true,Perceval tag.,Data Source / Parsed
total_reactions,long,true,Number of reactions in a message,Data Source / Parsed
total_urls,long,true,Number of urls in a message,Data Source / Parsed
total_mentions,long,true,Number of mentions in a message,Data Source / Parsed
user_username,keyword,true,Rocketchat user.,GrimoireLab / SortingHat
u_bot,long,true,1 if the given user is identified as a bot.,GrimoireLab / SortingHat
u_domain,keyword,true,Domain associated to the user in SortingHat profile.,GrimoireLab / SortingHat
u_gender,keyword,true,"User gender, based on her name (disabled by default).",Data Source / Parsed
u_gender_acc,long,true,User gender accuracy (disabled by default).,Data Source / Parsed
u_id,keyword,true,User Id from SortingHat.,Data Source / Parsed
u_multi_org_names,keyword,true,List of the user organizations from SortingHat profile.,GrimoireLab / SortingHat
u_name,keyword,true,User's name from SortingHat profile,Data Source / Parsed
u_org_name,keyword,true,User's organization name from SortingHat profile.,GrimoireLab / SortingHat
u_user_name,keyword,true,User's username from SortingHat profile.,Data Source / Parsed
u_uuid,keyword,true,User's UUID from SortingHat profile.,GrimoireLab / SortingHat
uuid,keyword,true,Perceval UUID.,Data Source / Parsed
