name,type,aggregatable,description,raw / calculated
assignee_bot,boolean,true,True if the given assignee is identified as a bot.,GrimoireLab / SortingHat
assignee_domain,keyword,true,Domain associated to the assignee in SortingHat profile.,GrimoireLab / SortingHat
assignee_gender,keyword,true,"Assignee gender, based on her name (disabled by default).",GrimoireLab / SortingHat
assignee_gender_acc,long,true,Assignee gender accuracy (disabled by default).,GrimoireLab / SortingHat
assignee_id,keyword,true,Assignee Id from SortingHat.,GrimoireLab / SortingHat
assignee_name, keyword,true,Assignee name.,GrimoireLab / SortingHat
assignee_org_name,keyword,true,Assignee organization name.,GrimoireLab / SortingHat
assignee_user_name,keyword,true,Assignee user name from SortingHat.,GrimoireLab / SortingHat
assignee_username,keyword,true,Assignee user name from GitLab.,GrimoireLab / SortingHat
assignee_uuid,keyword,true,Assignee UUID from SortingHat.,GrimoireLab / SortingHat
author_bot,boolean,true,True if the given author is identified as a bot.,GrimoireLab / SortingHat
author_domain,keyword,true,Domain associated to the author in SortingHat profile.,GrimoireLab / SortingHat
author_gender,keyword,true,"Author gender, based on her name (disabled by default).",GrimoireLab / SortingHat
author_gender_acc,keyword,true,Author gender accuracy (disabled by default).,GrimoireLab / SortingHat
author_id,keyword,true,Author Id from SortingHat.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author organization name.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author user name from SortingHat.,GrimoireLab / SortingHat
author_username,keyword,true,Author user name from GitLab.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author UUID from SortingHat.,GrimoireLab / SortingHat
closed_at,date,true,Date in which the Issue was closed.,Data Source / Parsed
created_at,date,true,Date in which the Issue was created.,Data Source / Parsed
gitlab_repo,keyword,true,GitLab repository name.,Data Source / Parsed
grimoire_creation_date,date,true,Issue creation date.,GrimoireLab
id,long,true,Issue Id in GitLab.,Data Source / Parsed
id_in_repo,keyword,true,Issue Id in the repository it belongs to.,Data Source / Parsed
is_gitlab_issue,long,true,"1 indicating this is an Issue, used for counting in case other kind of items could be stored in the same index or alias.",GrimoireLab
labels,keyword,true,Issue assigned labels.,Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated on its original data source.,GrimoireLab
milestone,keyword,true,Assigned milestone.,Data Source / Parsed
milestone_start_date,date,true,Date when a milestone was started.,Data Source / Parsed
milestone_due_date,date,true,Date when a milestone was due.,Data Source / Parsed
milestone_url,keyword,true,URL of the milestone.,Data Source / Parsed
milestone_id,long,true,"Id of the milestone, unique for all GitLab.",Data Source / Parsed
milestone_iid,long,true,"Id of the milestone, unique for the GitLab repository.",Data Source / Parsed
origin,keyword,true,Original URL where the repository was retrieved from.,Data Source / Parsed
project,keyword,true,Project.,GrimoireLab / projects.json
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy).,GrimoireLab / projects.json
repository,keyword,true,Repository name.,Data Source / Parsed
repository_labels,keyword,true,Custom repository labels defined by the user.,GrimoireLab / projects.json
state,keyword,true,'opened' or 'closed'.,Data Source / Parsed
tag,keyword,true,Perceval tag.,Data Source / Parsed
time_open_days,float,true,Time open in days.,Data Source / Parsed
time_to_close_days,float,true,Time to close Issue in days.,Data Source / Parsed
time_to_first_attention,float,true,Time from creation to first comment or reaction (whatever occurs first) added by an author different from the one who created this Issue.,Data Source / Parsed
title,keyword,true,Issue title.,Data Source / Parsed
title_analyzed,text,false,Issue title split by by terms to allow searching.,Data Source / Parsed
updated_at,date,true,Date when the Issue was updated.,Data Source / Parsed
url,keyword,true,Issue URL.,Data Source / Parsed
url_id,keyword,true,Consist of project path and Issue id in that project.,Data Source / Parsed
uuid,keyword,true,Perceval UUID.,Data Source / Parsed
