name,type,aggregatable,description,raw / calculated
author_bot,boolean,true,True if the given author is identified as a bot (from SortingHat profile).,GrimoireLab / SortingHat
author_domain,keyword,true,Domain associated to the author in SortingHat profile.,GrimoireLab / SortingHat
author_gender,keyword,true,"Author gender, based on her name, from SortingHat (disabled by default).",GrimoireLab / SortingHat
author_gender_acc,keyword,true,Author gender accuracy from SortingHat (disabled by default).,GrimoireLab / SortingHat
author_id,keyword,true,Author Id from SortingHat.,GrimoireLab / SortingHat
author_name,keyword,true,Author name from SortingHat.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author organization name from SortingHat.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author user name from SortingHat.,GrimoireLab / SortingHat
author_username,keyword,true,Author user name from GitLab.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author UUID from SortingHat.,GrimoireLab / SortingHat
code_merge_duration,float,true,Code merge duration.,Data Source / Parsed
closed_at,date,true,Date when the merge request was closed.,Data Source / Parsed
created_at,date,true,Merge Request creation date.,Data Source / Parsed
gitlab_repo,keyword,true,GitLab repository name.,Data Source / Parsed
grimoire_creation_date,date,true,Merge Request creation date.,GrimoireLab
id,long,true,Merge Request Id in GiLab.,Data Source / Parsed
id_in_repo,keyword,true,Merge Request Id in the repository it belongs to.,Data Source / Parsed
is_gitlab_merge_request,long,true,"1 indicating this is a Merge Request, used for counting in case other kind of items could be stored in the same index or alias.",GrimoireLab
item_type,keyword,true,"Item type, in this case 'merge_request request'",Data Source / Parsed
labels,keyword,true,Merge Request assigned labels.,Data Source / Parsed
merged_at,date,true,"Date when the merge request was merged,",Data Source / Parsed
merge_author_login,keyword,true,Merge author login from GitLab.,Data Source / Parsed
merge_author_domain,keyword,true,Merge author domain from GitLab.,GrimoireLab / SortingHat
merge_author_location,keyword,true,Merge author location from GitLab.,Data Source / Parsed
merge_author_name,keyword,true,Merge author name from GitLab.,Data Source / Parsed
merge_author_org,keyword,true,Merge author organization from GitLab.,Data Source / Parsed
merge_request,boolean,true,True if it is a Merge Request (useful to identify Merge Requests if used through aliases including several sources).,Data Source / Parsed
merged,boolean,true,True if the Merge Request was already merged.,Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated on its original data source.,GrimoireLab
milestone,keyword,true,Assigned milestone.,Data Source / Parsed
milestone_start_date,date,true,Date when a milestone was started.,Data Source / Parsed
milestone_due_date,date,true,Date when a milestone was due.,Data Source / Parsed
milestone_url,keyword,true,URL of the milestone.,Data Source / Parsed
milestone_id,long,true,"Id of the milestone, unique for all GitLab.",Data Source / Parsed
milestone_iid,long,true,"Id of the milestone, unique for the GitLab repository.",Data Source / Parsed
num_notes,long,true,Number of notes.,Data Source / Parsed
num_versions,long,true,Number of versions,Data Source / Parsed
origin,keyword,true,Original URL where the repository was retrieved from.,Data Source / Parsed
project,keyword,true,Project.,GrimoireLab / projects.json
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy).,GrimoireLab / projects.json
repository,keyword,true,Repository name.,Data Source / Parsed
repository_labels,keyword,true,Custom repository labels defined by the user.,GrimoireLab / projects.json
solved_at,date,true,Date when the merge request was merged or closed.,Data Source / Parsed
state,keyword,true,"'merged', 'opened' or 'closed'.",Data Source / Parsed
tag,keyword,true,Perceval tag.,Data Source / Parsed
time_open_days,float,true,"Time from MR creation to either closure or last update, in days. It applies to merged, closed and open MRs. If the MR is not open, the value will be the same as time_to_close_days. If the MR is open, the value is only updated when the MR changes, which can lead to inaccuracy.",Data Source / Parsed
time_to_close_days,float,true,"Time from MR creation to closure, in days. It only applies to merged or closed MRs, should not be available if the status is open.",Data Source / Parsed
time_to_first_attention,float,true,Time from creation to first comment or reaction (whatever occurs first) added by an author different from the one who created this Merge Request.,Data Source / Parsed
title,keyword,true,Merge Request title.,Data Source / Parsed
title_analyzed,text,false,Merge Request title split by terms to allow searching.,Data Source / Parsed
updated_at,date,true,Date when the Merge Request was updated.,Data Source / Parsed
url,keyword,true,Merge Request URL,Data Source / Parsed
url_id,keyword,true,Consists of project path and Merge Request id in that project.,Data Source / Parsed
uuid,keyword,true,Perceval UUID.,Data Source / Parsed
