name,type,aggregatable,description,raw / calculated
<Cross-references fields>,NA,NA,"Fields coming from cross references study (available only when it is active), see cross_references.csv.",Data Source / Parsed
assignee_data_bot,boolean,true,True/False if the assignee is a bot or not.,GrimoireLab / SortingHat
assignee_data_domain,keyword,true,Assignee's domain name from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_gender,keyword,true,Assignee gender.,GrimoireLab / SortingHat
assignee_data_gender_acc,keyword,true,Accuracy to assess assignee gender.,GrimoireLab / SortingHat
assignee_data_id,keyword,true,Assignee's id from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_name,keyword,true,Assignee's name.,GrimoireLab / SortingHat
assignee_data_org_name,keyword,true,Assignee's organization name from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_user_name,keyword,true,Assignee's username from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_uuid,keyword,true,Assignee's UUID from SortingHat profile.,GrimoireLab / SortingHat
assignee_domain,keyword,true,Assignee's domain name from GitHub.,GrimoireLab / SortingHat
assignee_geolocation,geo_point,true,Assignee's global location using coordinates.,GrimoireLab / SortingHat
assignee_location,keyword,true,Assignee's geographical location.,GrimoireLab / SortingHat
assignee_login,keyword,true,Assignee's login name from GitHub.,GrimoireLab / SortingHat
assignee_name,keyword,true,Assignee's name from GitHub.,GrimoireLab / SortingHat
assignee_org,keyword,true,Assignee's organization name from GitHub.,GrimoireLab / SortingHat
author_bot,boolean,true,True/False if the author is a bot or not.,GrimoireLab / SortingHat
author_domain,keyword,true,Author's domain name from SortingHat profile.,GrimoireLab / SortingHat
author_gender,keyword,true,Author gender.,GrimoireLab / SortingHat
author_gender_acc,keyword,true,Accuracy to assess author gender.,GrimoireLab / SortingHat
author_id,keyword,true,Author's ID from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,true,Author's name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author's organization name from SortingHat profile.,GrimoireLab / SortingHat
author_user_name,keyword,true,Author's username from SortingHat profile.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author's UUID from SortingHat profile.,GrimoireLab / SortingHat
body,keyword,true,Body of the issue/comment.,Data Source / Parsed
body_analyzed,text,false,Body of the issue/comment.,Data Source / Parsed
comment_updated_at,date,true,Date when the comment was updated.,Data Source / Parsed
demography_max_date,date,true,Date of the latest issue of the corresponding author. Available only when demography study is active.,Data Source / Parsed
demography_min_date,date,true,Date of the first (oldest) issue of the corresponding author. Available only when demography study is active.,Data Source / Parsed
github_repo,keyword,true,The name of the GitHub repository.,Data Source / Parsed
grimoire_creation_date,date,true,Issue/comment creation date.,GrimoireLab
id,keyword,true,Issue/comment ID.,Data Source / Parsed
is_github_issue,long,true,Used to separate issues from comments.,GrimoireLab
is_github_issue_comment,long,true,Used to separate comments from issues.,GrimoireLab
is_github_comment,long,true,Used to unify pull request and issue comments.,GrimoireLab
issue_closed_at,date,true,Date when an issue was closed.,Data Source / Parsed
issue_created_at,date,true,Date when an issue was opened.,Data Source / Parsed
