name,type,aggregatable,description,raw / calculated
<Demography contribution fields>,NA,NA,"Fields coming from demography contribution study (available only when it is active), see demography_contribution.csv.",Data Source / Parsed
action,long,true,Numeric identification of action.,Data Source / Parsed
action_name,keyword,true,Text description of action.,Data Source / Parsed
author_api_url,keyword,true,Author API URL.,GrimoireLab / SortingHat
author_bot,boolean,true,True if the given author is identified as a bot.,GrimoireLab / SortingHat
user_data_bot,long,true,1 if the given user is identified as a bot.,GrimoireLab / SortingHat
user_data_domain,keyword,true,Domain associated to the user in SortingHat profile.,GrimoireLab / SortingHat
user_data_gender,keyword,true,"User gender, based on her name (disabled by default).",GrimoireLab / SortingHat
user_data_gender_acc,long,true,User gender accuracy (disabled by default).,GrimoireLab / SortingHat
user_data_id,keyword,true,User Id from SortingHat.,GrimoireLab / SortingHat
user_data_multi_org_names,keyword,true,List of the user organizations from SortingHat profile.,GrimoireLab / SortingHat
user_data_name,keyword,true,User's name from SortingHat profile,GrimoireLab / SortingHat
user_data_org_name,keyword,true,User's organization name from SortingHat profile.,GrimoireLab / SortingHat
user_data_user_name,keyword,true,User's username from SortingHat profile.,GrimoireLab / SortingHat
user_data_uuid,keyword,true,User's UUID from SortingHat profile.,GrimoireLab / SortingHat
author_domain,keyword,true,Domain associated to the author in SortingHat profile.,GrimoireLab / SortingHat
author_id,keyword,true,Author Id from SortingHat.,GrimoireLab / SortingHat
author_name,keyword,true,Author name.,GrimoireLab / SortingHat
author_org_name,keyword,true,Author organization name from SortingHat profile.,GrimoireLab / SortingHat
author_multi_org_names,keyword,true,List of the author organizations from SortingHat profile.,GrimoireLab / SortingHat
author_uuid,keyword,true,Author UUID from SortingHat.,GrimoireLab / SortingHat
change_api_url,keyword,true,Change API URL.s,Data Source / Parsed
change_id,keyword,true,Change ID.,Data Source / Parsed
component_api_url,keyword,true,Component API URL.,Data Source / Parsed
component_name,keyword,true,Name of the component the unit belongs to.,Data Source / Parsed
glossary_term,long,true,Related glossary term object.,Data Source / Parsed
grimoire_creation_date,date,true,Creation date of the unit change,GrimoireLab
is_weblate_message,long,true,Field containing '1' that allows to sum fields when concatenating with other indexes.,GrimoireLab
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated in its original data source.,GrimoireLab
origin,keyword,true,Original URL where the unit change was retrieved from.,Data Source / Parsed
project,keyword,true,Project (from the projects panel configuration.,GrimoireLab / projects.json
project_1,keyword,true,Project (if more than one level is allowed in project hierarchy),GrimoireLab / projects.json
project_name,keyword,true,Name of the project the unit belongs to.,GrimoireLab / projects.json
tag,keyword,true,Perceval tag.,Data Source / Parsed
target,keyword,true,Target string.,Data Source / Parsed
text_analyzed,keyword,true,Message body in plain text.,Data Source / Parsed
translation_api_url,keyword,true,"Translation API URL, following the pattern /api/translations/(project_name)/(component_name)/(translation_name).",Data Source / Parsed
translation_name,keyword,true,Translation language code.,Data Source / Parsed
tz,long,true,Timezone in which the unit change was made by its original author.,Data Source / Parsed
unit_api_url,keyword,true,Unit API URL.,Data Source / Parsed
unit_approved,boolean,true,Whether the translation is approved.,Data Source / Parsed
unit_content_hash,long,true,Unique identifier of the source string.,Data Source / Parsed
unit_context,keyword,true,Translation unit context.,Data Source / Parsed
unit_flags,keyword,true,Translation unit flags,Data Source / Parsed
unit_fuzzy,boolean,true,Whether the unit is fuzzy or marked for review.,Data Source / Parsed
unit_has_comment,long,true,Field containing '1' if the unit has comments. It allows to sum fields when concatenating with other indexes.,Data Source / Parsed
unit_has_failing_check,long,true,Field containing '1' if the unit has failing checks. It allows to sum fields when concatenating with other indexes.,Data Source / Parsed
unit_has_suggestion,long,true,Field containing '1' if the unit has suggestions. It allows to sum fields when concatenating with other indexes.,Data Source / Parsed
unit_id,long,true,Unit identifier.,Data Source / Parsed
unit_id_hash,long,true,Unique identifier of the unit.,Data Source / Parsed
unit_location,keyword,true,Location of the unit in source code.,Data Source / Parsed
unit_note,keyword,true,Translation unit note.,Data Source / Parsed
unit_num_words,long,true,Number of source words.,Data Source / Parsed
unit_position,long,true,Unit position in translation file.,Data Source / Parsed
unit_previous_source,keyword,true,Previous source string used for fuzzy matching.,Data Source / Parsed
unit_priority,long,true,Translation priority; 100 is default.,Data Source / Parsed
unit_source,keyword,true,Source string.,Data Source / Parsed
unit_target,keyword,true,Target string.,Data Source / Parsed
unit_translated,boolean,true,Whether the unit is translated.,Data Source / Parsed
unit_translation,keyword,true,URL of a related translation object.,Data Source / Parsed
unit_url,keyword,true,Unit API URL.,Data Source / Parsed
unit_web_url,keyword,true,URL where the unit can be edited.,Data Source / Parsed
user_api_url,keyword,true,User API URL.,GrimoireLab / SortingHat
user_name,keyword,true,Username of a given user.,GrimoireLab / SortingHat
uuid,keyword,true,Perceval UUID.,Data Source / Parsed
